city,rain
San Andrés,0.1
Providencia,1.7
Santa Marta,0
Cartagena de Indias,0
Soledad,0
Barranquilla,0
Riohacha,0
Valledupar,0
Montería,0
Sincelejo,13
Barrancabermeja,22
Bucaramanga,2
Cúcuta,0.9
Apartadó,10.8
Medellín,9.4
Ríonegro,15.2
Manizales,0.1
Pereira,1.4
Armenia,0
Ibagué,0.6
Tunja,0
Bogotá D.C.,0
Palmira,1.3
Cali,23.3
Popayán,0
Neiva,0
Pasto,3.4
Ipiales,4.1
Quibdó,0
Buenaventura,35
San Andrés de Tumaco,10
Yopal,1.7
Arauca,0
Puerto Carreño,1.4
Villavicencio,1.6
San José del Guaviare,0
Inírida,12
Mitú,20
Florencia,0
Mocoa,56
Leticia,12.2
